WKT,name,description
"POINT (23.7383394 37.9908372)",Athens,
"POINT (-4.6805166 57.1448064)",Fort Augustus,
"POINT (123.4287747 41.8058819)",Shenyang,
"POINT (124.3568596 39.9996361)",Dandong,
"POINT (121.4364338 37.4704878)",Yantai,
"POINT (117.2454874 35.4740598)",Qufu,
"POINT (117.1972946 39.0869935)",Tianjin,
"POINT (100.8824376 12.923594)",Pattaya City,
"POINT (115.1809916 -8.3606078)",Bali,
"POINT (121.0040649 14.6000727)",Manila,
